FeedbackID,ProductID,RegionID,Rating,FeedbackDate,Comment
1,13,2,5,2023-04-26,Fast delivery.
2,37,2,1,2023-11-07,Good value for money.
3,99,5,1,2023-08-16,Exceeded expectations.
4,120,2,4,2023-09-14,Exceeded expectations.
5,48,8,4,2023-02-04,Good value for money.
6,164,2,4,2023-08-12,Would not buy again.
7,37,8,3,2023-12-25,Poor packaging.
8,146,6,3,2023-05-15,Poor packaging.
9,46,5,2,2023-11-03,Poor packaging.
10,70,1,1,2023-08-27,Fast delivery.
11,115,2,2,2023-05-22,Good value for money.
12,93,7,1,2023-06-06,Fast delivery.
13,69,8,2,2023-03-20,Poor packaging.
14,177,8,2,2023-06-21,Great product!
15,90,6,5,2023-04-10,Poor packaging.
16,143,8,5,2023-01-14,Good value for money.
17,200,3,4,2023-05-24,Exceeded expectations.
18,162,6,2,2023-08-08,Great product!
19,41,3,2,2023-09-28,Not as described.
20,128,5,2,2023-10-12,Good value for money.
21,133,2,3,2023-03-08,Poor packaging.
22,27,1,4,2023-08-11,Great product!
23,55,7,2,2023-12-23,Fast delivery.
24,62,8,4,2023-05-14,Poor packaging.
25,200,8,2,2023-03-22,Great product!
26,105,8,4,2023-02-14,Would not buy again.
27,128,7,5,2023-10-28,Would not buy again.
28,51,1,3,2023-04-05,Would not buy again.
29,173,3,1,2023-12-27,Would not buy again.
30,179,8,3,2023-05-22,Good value for money.
31,200,1,1,2023-04-26,Poor packaging.
32,155,3,4,2023-09-24,Good value for money.
33,126,2,3,2023-09-04,Fast delivery.
34,102,6,2,2023-01-26,Poor packaging.
35,36,8,4,2023-06-02,Exceeded expectations.
36,197,5,3,2023-06-16,Would not buy again.
37,94,1,5,2023-01-17,Not as described.
38,179,2,4,2023-04-03,Poor packaging.
39,168,8,1,2023-01-09,Poor packaging.
40,31,6,4,2023-09-19,Fast delivery.
41,136,5,2,2023-06-23,Good value for money.
42,87,6,5,2023-10-17,Poor packaging.
43,30,5,2,2023-09-21,Fast delivery.
44,199,3,4,2023-07-01,Would not buy again.
45,101,3,4,2023-03-01,Poor packaging.
46,96,5,3,2023-03-25,Great product!
47,45,1,2,2023-04-17,Great product!
48,141,5,2,2023-12-29,Fast delivery.
49,12,5,4,2023-09-12,Exceeded expectations.
50,47,6,3,2023-11-26,Would not buy again.
51,182,5,3,2023-07-02,Fast delivery.
52,183,1,1,2023-09-15,Not as described.
53,134,7,5,2023-09-21,Would not buy again.
54,71,2,5,2023-02-24,Poor packaging.
55,86,4,4,2023-06-13,Would not buy again.
56,99,7,4,2023-05-06,Good value for money.
57,150,7,2,2023-09-13,Fast delivery.
58,66,1,3,2023-03-03,Good value for money.
59,68,3,4,2023-02-23,Fast delivery.
60,174,2,2,2023-10-11,Would not buy again.
61,3,1,5,2023-03-21,Good value for money.
62,115,1,5,2023-11-18,Would not buy again.
63,110,8,2,2023-05-06,Poor packaging.
64,96,7,4,2023-01-20,Poor packaging.
65,123,1,3,2023-04-01,Poor packaging.
66,84,2,5,2023-09-07,Not as described.
67,101,6,5,2023-02-05,Would not buy again.
68,34,6,5,2023-02-09,Poor packaging.
69,13,1,5,2023-10-06,Poor packaging.
70,146,5,3,2023-10-12,Great product!
71,106,7,1,2023-08-18,Fast delivery.
72,127,2,2,2023-04-20,Great product!
73,84,4,4,2023-01-05,Not as described.
74,143,8,3,2023-01-14,Good value for money.
75,195,3,1,2023-05-16,Would not buy again.
76,89,4,2,2023-10-10,Poor packaging.
77,29,7,5,2023-02-18,Exceeded expectations.
