ReturnID,SalesID,ProductID,RegionID,DepartmentID,ReturnDate,ReturnReason
1,106450,170,2,2,2022-04-06 04:15:00,Customer Changed Mind
2,113705,48,3,5,2022-05-26 18:00:00,Wrong Item
3,119259,135,3,2,2022-07-30 14:30:00,Wrong Item
4,167205,109,2,6,2023-12-31 01:00:00,Wrong Item
5,196319,109,6,4,2024-10-12 07:30:00,Wrong Item
6,120863,188,8,3,2022-09-02 07:30:00,Defective
7,106122,90,6,3,2022-03-12 18:15:00,Defective
8,171007,171,3,4,2024-01-29 15:30:00,Wrong Item
9,171277,194,2,5,2024-01-25 11:00:00,Customer Changed Mind
10,117880,82,3,3,2022-07-21 05:45:00,Damaged
11,130633,101,5,3,2022-11-27 02:00:00,Defective
12,170068,73,5,6,2024-01-21 20:45:00,Customer Changed Mind
13,164500,169,4,5,2023-11-19 20:45:00,Damaged
14,181597,101,8,4,2024-05-15 23:00:00,Defective
15,158929,91,2,2,2023-09-17 20:00:00,Customer Changed Mind
16,130773,144,7,3,2022-12-14 13:00:00,Customer Changed Mind
17,112196,103,2,1,2022-05-10 00:45:00,Defective
18,103358,109,7,5,2022-02-15 23:15:00,Damaged
19,153812,118,5,6,2023-08-07 12:45:00,Defective
20,161626,164,6,3,2023-10-09 22:15:00,Wrong Item
21,108725,167,5,1,2022-04-16 21:00:00,Customer Changed Mind
22,164397,160,6,1,2023-11-24 19:00:00,Defective
23,190771,125,5,5,2024-08-17 12:30:00,Wrong Item
24,150944,64,7,6,2023-07-11 15:45:00,Wrong Item
25,104654,51,3,6,2022-02-22 11:15:00,Wrong Item
26,135573,192,3,6,2023-01-18 13:00:00,Customer Changed Mind
27,196957,155,4,4,2024-10-27 23:00:00,Defective
28,199812,145,3,1,2024-11-14 16:45:00,Wrong Item
29,192382,168,2,3,2024-09-16 07:15:00,Damaged
30,144715,116,3,4,2023-04-25 18:30:00,Damaged
31,185129,197,3,2,2024-07-01 18:00:00,Wrong Item
32,120364,51,3,3,2022-08-28 02:45:00,Wrong Item
33,135863,64,1,1,2023-01-23 13:30:00,Customer Changed Mind
34,183238,70,3,5,2024-05-21 01:15:00,Damaged
35,146441,74,3,1,2023-05-01 18:00:00,Wrong Item
36,124247,127,8,3,2022-09-18 13:30:00,Customer Changed Mind
37,100186,50,5,4,2022-01-10 22:15:00,Defective
38,172881,93,1,1,2024-02-09 04:00:00,Wrong Item
39,108661,184,8,6,2022-04-21 05:00:00,Wrong Item
40,168928,133,5,2,2024-01-11 23:45:00,Customer Changed Mind
41,113855,134,1,2,2022-06-20 07:30:00,Damaged
42,113019,54,6,3,2022-05-20 14:30:00,Damaged
43,192938,3,1,4,2024-09-13 02:15:00,Customer Changed Mind
44,157601,168,7,5,2023-09-07 00:00:00,Damaged
45,135019,44,2,1,2023-01-12 18:30:00,Wrong Item
46,131268,151,3,4,2022-12-03 16:45:00,Damaged
47,167765,103,8,4,2023-12-31 21:00:00,Defective
48,144838,115,4,3,2023-04-30 01:15:00,Wrong Item
49,155898,60,8,3,2023-09-04 06:15:00,Defective
50,163174,65,7,3,2023-11-06 01:15:00,Customer Changed Mind
51,170900,149,7,2,2024-01-11 12:45:00,Customer Changed Mind
52,178332,132,6,1,2024-04-17 22:45:00,Customer Changed Mind
53,135252,10,5,2,2023-01-27 04:45:00,Damaged
54,105517,177,3,6,2022-03-13 11:00:00,Customer Changed Mind
55,163351,64,3,6,2023-11-13 21:30:00,Customer Changed Mind
56,198073,76,5,1,2024-10-26 14:00:00,Customer Changed Mind
57,184852,157,3,1,2024-06-25 20:45:00,Wrong Item
58,159600,182,7,2,2023-09-27 19:45:00,Damaged
59,196286,32,5,4,2024-10-26 23:15:00,Customer Changed Mind
60,175977,87,8,2,2024-03-31 10:00:00,Defective
61,101149,46,6,3,2022-02-08 23:00:00,Defective
62,169213,135,4,2,2024-01-05 23:00:00,Damaged
63,180378,34,6,2,2024-05-11 06:15:00,Defective
64,171262,89,1,1,2024-02-01 07:15:00,Wrong Item
65,163376,46,3,4,2023-11-11 03:45:00,Damaged
66,184116,164,4,5,2024-06-04 04:45:00,Wrong Item
67,167593,105,1,4,2023-12-29 02:00:00,Customer Changed Mind
68,163121,22,1,2,2023-10-31 12:00:00,Damaged
69,129097,145,3,3,2022-11-28 02:00:00,Damaged
70,182724,49,3,5,2024-05-25 16:45:00,Damaged
71,171985,172,7,4,2024-02-17 20:00:00,Defective
72,172923,20,1,6,2024-02-25 14:30:00,Wrong Item
73,122011,34,2,1,2022-09-02 06:30:00,Customer Changed Mind
74,185474,171,2,1,2024-06-21 08:15:00,Defective
75,115289,157,6,2,2022-06-14 06:00:00,Wrong Item
76,110828,122,2,2,2022-05-01 18:45:00,Wrong Item
77,188294,175,3,4,2024-07-18 17:15:00,Defective
78,129521,161,3,6,2022-11-28 12:00:00,Damaged
79,171261,38,3,6,2024-02-06 07:00:00,Wrong Item
80,150115,19,7,2,2023-06-12 00:30:00,Wrong Item
81,110233,85,7,1,2022-05-02 14:00:00,Defective
